Project ,Method,Model,Approach,Original Violations,Resolved Violations,Unresolved Violations,Introduced Issues,Split Count,Cyclomatic (Before),Cognitive (Before),NPath (Before),LOC (Before),Cyclomatic Max (After),Cognitive  Max (After),NPath Max  (After),LOC Max (After) ,Cyclomatic Avg (After),Cognitive  Avg (After),NPath Avg  (After),LOC Avg  (After) ,Average reduction ,Reduction Effectiveness,Tests Total,Passed,Failed,Effectiveness level,Notes,Column 1,
tablesaw,splitOn(String... splitColumnNames), R1 Distill Qwen 32B,HYBRID,"CognitiveComplexity, ExcessiveLinesOfCode","CognitiveComplexity, ExcessiveLinesOfCode",,No,5,,21,,56,,8,,27,,2.8,,27,56.85%,Moderate,10,10,0,Moderate,"Extract method, clear naming of methods, SRP, both added and reduced duplication added guard clause for empty input. Introduced runtime casting of objects.",,
tablesaw,splitOn(String... splitColumnNames), R1 Distill Qwen 32B,LLM_ONLY,"CognitiveComplexity, ExcessiveLinesOfCode","CognitiveComplexity, ExcessiveLinesOfCode",,No,3,,21,,56,,6,,18,,3.67,,16.67,69.64%,Moderate,10,10,0,Moderate,"Extract method, SRP, removed duplication.",,
tablesaw,"aggregate(ListMultimap<String, AggregateFunction<?, ?>> functions)", Llama 4 Maverick,HYBRID,CognitiveComplexity,CognitiveComplexity,,No,4,,15,,23,,3,,17,,2.67,,9.75,53.04%,Moderate,3,3,0,Moderate,"Extract method, separation of concerns. Standard Java.",,
tablesaw,"aggregate(ListMultimap<String, AggregateFunction<?, ?>> functions)", Llama 4 Maverick,LLM_ONLY,CognitiveComplexity,CognitiveComplexity,,Yes,5,,15,,23,,3,,13,,1.75,,8.4,61.74%,Moderate,3,,,Ineffective(Error or Untestable),Introduced type mismatch. Using unresolved method. Does not compile. Unit tests not run due to compilation error.,,
tablesaw,"aggregate(ListMultimap<String, AggregateFunction<?, ?>> functions)", Gemini 2.0 Flash,HYBRID,CognitiveComplexity,CognitiveComplexity,,Yes,4,,15,,23,,3,,15,,1.75,,10.5,57.39%,Moderate,3,,,Ineffective(Error or Untestable),Introduced type mismatch. Attempting to pass mismatched variable to method. Unit tests not run due to compilation error.,,
tablesaw,"aggregate(ListMultimap<String, AggregateFunction<?, ?>> functions)", Gemini 2.0 Flash,LLM_ONLY,CognitiveComplexity,CognitiveComplexity,,Yes,3,,15,,23,,10,,25,,6,,12,12.32%,Minimal,3,,,Ineffective(Error or Untestable),Introduced type mismatch. Attempting to pass mismatched variable to method. Unit tests not run due to compilation error.,,
tablesaw,"aggregate(ListMultimap<String, AggregateFunction<?, ?>> functions)", R1 Distill Qwen 32B,HYBRID,CognitiveComplexity,CognitiveComplexity,,Yes,5,,15,,23,,3,,17,,1.75,,9.4,53.04%,Moderate,3,,,Ineffective(Error or Untestable),"Hallucinated method (from outside context). Extract method, SRP.",,
tablesaw,"aggregate(ListMultimap<String, AggregateFunction<?, ?>> functions)", R1 Distill Qwen 32B,LLM_ONLY,CognitiveComplexity,CognitiveComplexity,,No,6,,15,,23,,3,,14,,2.67,,7.67,59.57%,Moderate,3,1,3,Ineffective(Test Fails),"Extract method, SRP. Wrote (test) results to a non-existing table column.",,
jsoup," String asString(Document doc, @Nullable Map<String, String> properties)", Llama 4 Maverick,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,6,10,,,29,3,,,12,2.17,,,6.67,64.31%,Moderate,9,9,0,Moderate,"Extract method, single responsibility, decomposed conditionals. Clarified method name.",,
jsoup," String asString(Document doc, @Nullable Map<String, String> properties)", Llama 4 Maverick,LLM_ONLY,CyclomaticComplexity,CyclomaticComplexity,,No,6,10,,,29,3,,,10,2.17,,,7.17,67.76%,Moderate,9,9,0,Moderate,"Extract method, single responsibility, decomposed conditionals. Clarified method name.",,
jsoup," String asString(Document doc, @Nullable Map<String, String> properties)", Gemini 2.0 Flash,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,5,10,,,29,5,,,12,2.4,,,7.8,54.31%,Moderate,9,9,0,Moderate,"Extracted method, SRP, separation of concerns. Imported TransformerConfigurationException for one of the new methods.",,
jsoup," String asString(Document doc, @Nullable Map<String, String> properties)", Gemini 2.0 Flash,LLM_ONLY,CyclomaticComplexity,CyclomaticComplexity,,No,1,10,,,29,10,,,23,10,,,23,10.34%,Minimal,9,9,0,Minimal,"Streamlined object creation (delayed until necessary), elimianted unneeded steps, enhanced control flow.",,
jsoup," String asString(Document doc, @Nullable Map<String, String> properties)", R1 Distill Qwen 32B,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,3,10,,,29,7,,,17,4,,,12.33,35.69%,Low,9,9,0,Low,"Extract method, SRP.",,
jsoup," String asString(Document doc, @Nullable Map<String, String> properties)", R1 Distill Qwen 32B,LLM_ONLY,CyclomaticComplexity,CyclomaticComplexity,,No,3,10,,,29,7,,,17,4,,,12.33,35.69%,Low,9,9,0,Low,"Extract method, SRP.",,
jsoup,hasClass(String className), Llama 4 Maverick,HYBRID,"CognitiveComplexity, CyclomaticComplexity, ExcessiveLinesOfCode, NPathComplexity","CognitiveComplexity, CyclomaticComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,5,13,21,252,45,6,14,6,21,2.8,4,3.8,8.8,59.53%,Moderate,8,8,0,Moderate,"Extract method, single responsibility. Standard Java library.",,
jsoup,hasClass(String className), Llama 4 Maverick,LLM_ONLY,"CognitiveComplexity, CyclomaticComplexity, ExcessiveLinesOfCode, NPathComplexity","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,3,13,21,252,45,6,17,12,17,4,4.67,8.67,10.67,57.59%,Moderate,8,8,0,Moderate,"Extract method, single responsibility. Standard Java library. Improved logical flow. Avoids redundant String/Arraylist creation.",,
jsoup,hasClass(String className), Gemini 2.0 Flash,HYBRID,"CognitiveComplexity, CyclomaticComplexity, ExcessiveLinesOfCode, NPathComplexity","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,4,13,21,252,45,6,15,12,21,3.5,5.25,6,11.25,57.75%,Moderate,8,8,0,Moderate,"Extract method, separation of cocnerns, code duplication reduction, descriptive method names.",,
jsoup,hasClass(String className), Gemini 2.0 Flash,LLM_ONLY,"CognitiveComplexity, CyclomaticComplexity, ExcessiveLinesOfCode, NPathComplexity","CyclomaticComplexity, ExcessiveLinesOfCode","CognitiveComplexity, NPathComplexity",No,1,13,21,252,45,12,21,504,37,12,21,504,37,-18.63%,Negative,8,8,0,Ineffective(Increased complexity),"Removed redundant conditions, removed unnecessary checks, loop logic more compact",,
jsoup,hasClass(String className), R1 Distill Qwen 32B,HYBRID,"CognitiveComplexity, CyclomaticComplexity, ExcessiveLinesOfCode, NPathComplexity","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,3,13,21,252,45,9,17,36,32,5.67,11,20.33,17,41.11%,Low,8,8,0,Low,"Extract method, SRP. Added null/empty checks for class name/attributes.",,
jsoup,hasClass(String className), R1 Distill Qwen 32B,LLM_ONLY,"CognitiveComplexity, CyclomaticComplexity, ExcessiveLinesOfCode, NPathComplexity","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,1,13,21,252,45,4,3,6,10,4,3,6,10,82.59%,High,8,8,0,High,"The refactoring simplified the original method by replacing manual character iteration with String.split() and streams (.filter, .map, .anymatch).",,
jsoup,List<Connection.KeyVal> formData(), Llama 4 Maverick,HYBRID,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,5,15,32,265,38,4,7,5,17,3,3.8,3.8,9.6,76.21%,Moderate,7,7,0,Moderate,"Extract method, single responsibility. Imported Collections library.",,
jsoup,List<Connection.KeyVal> formData(), Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,6,15,32,265,38,4,5,5,10,2.67,3.17,3.5,7.33,82.38%,High,7,6,1,Ineffective(Test Fails),"The refactoring failed to check for and exclude null values returned by method, resulting in an incorrect form data list size (failing single test).",,
jsoup,List<Connection.KeyVal> formData(), Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,6,15,32,265,38,5,7,9,13,3,7,4,7.83,76.80%,Moderate,7,7,0,Moderate,"Reduced nesting, separated cocnerns, decomposed logic, extract method, SRP.",,
jsoup,List<Connection.KeyVal> formData(), Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,3,15,32,265,38,10,12,49,22,5.67,7,18.67,13.33,54.86%,Moderate,7,7,0,Moderate,Extract method but only more complex input types extracted to helper methods. Inline condition grouping.,,
jsoup,List<Connection.KeyVal> formData(), R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,7,15,32,265,38,6,9,13,17,1.71,3,3.29,5,70.56%,Moderate,7,7,0,Moderate,"Extract method, SRP.",,
jsoup,List<Connection.KeyVal> formData(), R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,6,15,32,265,38,6,6,12,13,3.33,3.33,6,9.67,75.63%,Moderate,7,7,0,Moderate,"Extract method, SRP.",,
jsoup,int nextIndexOf(CharSequence seq), Llama 4 Maverick,HYBRID,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,No,4,10,17,,17,4,4,,12,3.25,3.25,,9.75,55.29%,Moderate,2,2,0,Moderate,"Extract method, single responsibility. Standard Java library.",,
jsoup,int nextIndexOf(CharSequence seq), Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,No,3,10,17,,17,4,5,,14,3.67,3.67,,10.67,49.41%,Low,2,2,0,Low,"Extract method, single responsibility. Standard Java library.",,
jsoup,int nextIndexOf(CharSequence seq), Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,No,3,10,17,,17,4,5,,14,4,4,,10.33,49.41%,Low,2,2,0,Low,"Responsibilities extracted, simplified main loop (heavy nesting), separation of concerns.",,
jsoup,int nextIndexOf(CharSequence seq), Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,No,2,10,17,,17,5,7,,16,4,5,,12.5,38.24%,Low,2,2,0,Low,Replaced nested loop logic with a cleaner linear scan and extracted sequence matching into a helper method. Separation of concerns.,,
jsoup,int nextIndexOf(CharSequence seq), R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,No,4,10,17,,17,6,5,,20,3.5,4,,10.5,30.98%,Low,2,2,0,Low,"Extract method, SRP, clearly named new methods. Simplified intricate nesting.",,
jsoup,int nextIndexOf(CharSequence seq), R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,No,6,10,17,,17,4,3,,11,3.33,2.67,,9.33,59.22%,Moderate,2,2,0,Moderate,"Extract method, SRP, clearly named new methods. Simplified intricate nesting.",,
jsoup,String escapeCssIdentifier(String in), Llama 4 Maverick,HYBRID,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,Yes,4,11,16,,54,5,5,,10,3.67,3.33,,6.67,68.26%,Moderate,1,,,Ineffective(Error or Untestable),Compared character to string literals instead of the correct Unicode values (refactoring added another \ to values). Removing two individual \'s allowed test to pass. Unit tests not run due to compilation error.,,
jsoup,String escapeCssIdentifier(String in), Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,Yes,4,11,16,,54,3,8,,12,2.5,5.5,,8.75,66.84%,Moderate,1,,,Ineffective(Error or Untestable),Compared character to string literals instead of the correct Unicode values (refactoring added another \ to values). Removing two individual \'s allowed test to pass. Unit tests not run due to compilation error.,,
jsoup,String escapeCssIdentifier(String in), Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,Yes,4,11,16,,54,3,8,,12,2.5,5.5,,8.75,66.84%,Moderate,1,,,Ineffective(Error or Untestable),Compared character to string literals instead of the correct Unicode values (refactoring added another \ to values). Removing two individual \'s allowed test to pass. Unit tests not run due to compilation error.,,
jsoup,String escapeCssIdentifier(String in), Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,Yes,1,11,16,,54,9,7,,30,9,7,,30,39.63%,Low,1,,,Ineffective(Error or Untestable),Compared character to string literals instead of the correct Unicode values. Unit tests not run due to compilation error.,,
jsoup,String escapeCssIdentifier(String in), R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,Yes,5,11,16,,54,3,7,,18,2,4.5,,6.33,65.21%,Moderate,1,,,Ineffective(Error or Untestable),Compared character to string literals instead of the correct Unicode values (refactoring added another \ to values). Removing two individual \'s allowed test to pass. Unit tests not run due to compilation error.,,
jsoup,String escapeCssIdentifier(String in), R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,Yes,3,11,16,,54,4,7,,17,2.67,4.5,,5,62.80%,Moderate,1,,,Ineffective(Error or Untestable),Compared character to string literals instead of the correct Unicode values (refactoring added another \ to values). Removing two individual \'s allowed test to pass. Unit tests not run due to compilation error.,,
jsoup,"chompBalanced(char open, char close)", Llama 4 Maverick,HYBRID,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,7,20,33,238,42,7,12,18,29,3.57,6.25,5.14,8.57,63.01%,Moderate,6,4,2,Ineffective(Test Fails),Refactoring breaks correct tracking of quote contexts and regex escapes leading to incorrect parsing of strings with nested quotes or escaped characters,,
jsoup,"chompBalanced(char open, char close)", Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,6,20,33,238,42,6,11,14,29,3.33,5,5.67,9.5,65.43%,Moderate,6,,,Ineffective(Error or Untestable),Hallucinated a return value. Unit tests not run due to compilation error.,,
jsoup,"chompBalanced(char open, char close)", Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,Yes,3,20,33,238,42,11,9,80,43,3.66,3,26.66,14.33,45.43%,Low,6,,,Ineffective(Error or Untestable),Hallucinated method. Used too many characters in char literal. Unclosed character literal. Unit tests not run due to compilation error.,,
jsoup,"chompBalanced(char open, char close)", Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity",,Yes,1,20,33,238,42,10,8,48,43,10,8,48,43,50.80%,Moderate,6,,,Ineffective(Error or Untestable),Unclosed character literal. Unit tests not run due to compilation error.,,
jsoup,"chompBalanced(char open, char close)", R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,Yes,5,20,33,238,42,11,18,11,27,4.8,8.67,5.2,13,55.39%,Moderate,6,,,Ineffective(Error or Untestable),Hallucinated method of another class (out of context). Unit tests not run due to compilation error.,,
jsoup,"chompBalanced(char open, char close)", R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,Yes,4,20,33,238,42,8,17,14,34,4.5,6.5,6.5,13.5,55.41%,Moderate,6,,,Ineffective(Error or Untestable),Hallucinated variable. Unit tests not run due to compilation error.,,
jsoup,String consumeCssIdentifier(), Llama 4 Maverick,HYBRID,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,No,4,12,16,,41,6,6,,15,3.75,4.33,,4.33,58.64%,Moderate,3,2,1,Ineffective(Test Fails),Removed a break causing infinite loop in one test.,,
jsoup,String consumeCssIdentifier(), Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,No,2,12,16,,41,7,8,,21,6.5,8,,18,46.82%,Low,3,2,0,Low,"Extract method focused, SRP.  Preserved behavior of original break.",,
jsoup,String consumeCssIdentifier(), Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,No,4,12,16,,41,5,6,,17,3.5,3.25,,10.75,59.79%,Moderate,3,2,1,Ineffective(Test Fails),Removed a break causing infinite loop in one test.,,
jsoup,String consumeCssIdentifier(), Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,No,1,12,16,,41,9,13,,26,9,13,,26,26.78%,Low,3,2,0,Low,"Refactoring simplified the method by removing special-case handling and consolidating logic into a single, consistent processing flow.",,
jsoup,String consumeCssIdentifier(), R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,No,3,12,16,,41,6,9,,22,5,5.33,,16.33,46.70%,Low,3,2,0,Low,"Extract method focused, SRP. ",,
jsoup,String consumeCssIdentifier(), R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity","CyclomaticComplexity, CognitiveComplexity",,No,7,12,16,,41,6,7,,25,2.57,2.6,,7.71,48.42%,Low,3,1,2,Ineffective(Test Fails),"Extract method, SRP. Fails tests because it only checks the last character of the initially consumed identifier to decide if further parsing is needed. This misses escape sequences that appear after the initial segment, leading to incorrect parsing",,
jsoup,void consumeCssEscapeSequenceInto(StringBuilder out), Llama 4 Maverick,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,6,13,15,,37,4,4,,12,2.67,2.17,,8.17,70.04%,Moderate,2,2,0,Moderate,"Extract method focused, SRP.  Clearer naming.",,
jsoup,void consumeCssEscapeSequenceInto(StringBuilder out), Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,5,13,15,,37,6,6,,12,3,2.4,,7.8,60.47%,Moderate,2,2,0,Moderate,"Extract method focused, SRP.  Clearer naming.",,
jsoup,void consumeCssEscapeSequenceInto(StringBuilder out), Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,4,13,15,,37,4,9,,11,3.25,2.25,,8,59.83%,Moderate,2,2,0,Moderate,"Extract method, SRP, isolated error handling.",,
jsoup,void consumeCssEscapeSequenceInto(StringBuilder out), Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,Yes,1,13,15,,37,7,11,,31,7,11,,31,29.68%,Low,2,,,Ineffective(Error or Untestable),Incorrect character literals. Used escaped character literals instead of the actual control characters. Unit tests not run due to compilation error.,,
jsoup,void consumeCssEscapeSequenceInto(StringBuilder out), R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,Yes,3,13,15,,37,6,9,,19,5.5,9.25,,8,47.50%,Low,2,,,Ineffective(Error or Untestable),Incorrect character literals. Used escaped character literals instead of the actual control characters. Unit tests not run due to compilation error.,,
jsoup,void consumeCssEscapeSequenceInto(StringBuilder out), R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,Yes,5,13,15,,37,5,6,,23,2.6,11,,9,53.13%,Moderate,2,,,Ineffective(Error or Untestable),Incorrect character literals. Used escaped character literals instead of the actual control characters. Unit tests not run due to compilation error.,,
openmrs-core,String getModifyString(Database database), Llama 4 Maverick,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,3,10,,,17,4,,,,2,,,,60.00%,Moderate,1,1,0,Moderate,"Code refactoring extraction
",,
openmrs-core,String getModifyString(Database database), Llama 4 Maverick,LLM_ONLY,CyclomaticComplexity,CyclomaticComplexity,,No,3,10,,,17,4,,,,2,,,,60.00%,Moderate,1,1,0,Moderate,"Code refactoring extraction
",,
openmrs-core,String getModifyString(Database database), R1 Distill Qwen 32B,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,3,10,,,17,4,,,,2,,,,60.00%,Moderate,1,1,0,Moderate,"Code refactoring extraction
",,
openmrs-core,String getModifyString(Database database), R1 Distill Qwen 32B,LLM_ONLY,CyclomaticComplexity,,CyclomaticComplexity,Yes,1,10,,,17,10,,,,10,,,,0.00%,None,1,,,Ineffective(Error or Untestable),Incompatible types in switch statement ,,
openmrs-core,String getModifyString(Database database), Gemini 2.0 Flash,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,3,10,,,17,4,,,,2,,,,60.00%,Moderate,1,1,0,Moderate,Code refactoring extraction,,
openmrs-core,String getModifyString(Database database), Gemini 2.0 Flash,LLM_ONLY,CyclomaticComplexity,,CyclomaticComplexity,No,1,10,,,17,10,,,,10,,,,0.00%,None,1,1,0,Ineffective(no change),,,
openmrs-core,"public ConceptName getShortestName(Locale locale, Boolean exact)", Llama 4 Maverick,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,5,12,17,,37,5,5,,12,2.8,2.6,,7.4,65.50%,Moderate,4,4,0,Moderate,"Logic abstraction
Single responsibility principle",,
openmrs-core,"public ConceptName getShortestName(Locale locale, Boolean exact)", Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,5,12,17,,37,4,4,,9,2.4,2,,7,72.94%,Moderate,4,4,0,Moderate,"Logic abstraction
Single responsibility principle",,
openmrs-core,"public ConceptName getShortestName(Locale locale, Boolean exact)", R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,3,12,17,,37,4,4,,19,3,2.67,,12,63.93%,Moderate,4,4,0,Moderate,"Uses Java Streams API
Single responsibility principle",,
openmrs-core,"public ConceptName getShortestName(Locale locale, Boolean exact)", R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,3,12,17,,37,6,8,,21,5,6.33,,13.67,48.73%,Low,4,4,0,Low,duplicating iteration logic across methods,,
openmrs-core,"public ConceptName getShortestName(Locale locale, Boolean exact)", Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,"CognitiveComplexity, CyclomaticComplexity, ExcessiveLinesOfCode",Yes,5,12,17,,37,,,,,,,,,#N/A,#N/A,4,,,Ineffective(Error or Untestable),Syntax error: illegal escape characters in strings,,
openmrs-core,"public ConceptName getShortestName(Locale locale, Boolean exact)", Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",No,1,12,17,,37,12,16,,33,12,16,,33,5.56%,Minimal,4,4,0,Minimal,,,
openmrs-core,"Date addToDate(Date startDate, OrderFrequency frequency)", Llama 4 Maverick,HYBRID,"CyclomaticComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,3,12,,384,31,9,,,20,4.67,,,10.67,30.24%,Low,9,9,0,Low,"Switch statement usage
error handling isolation
Single responsibility principle",,
openmrs-core,"Date addToDate(Date startDate, OrderFrequency frequency)", Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, NPathComplexity, ExcessiveLinesOfCode","NPathComplexity, ExcessiveLinesOfCode",CyclomaticComplexity,No,1,12,,384,31,12,,10,25,12,,10,25,38.92%,Low,9,8,1,Ineffective(Test Fails),"Switch statement usage

",,
openmrs-core,"Date addToDate(Date startDate, OrderFrequency frequency)", R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, NPathComplexity, ExcessiveLinesOfCode",ExcessiveLinesOfCode,"CyclomaticComplexity, NPathComplexity",No,9,12,,384,31,10,,256,27,2.22,,29.44,6,20.97%,Low,9,2,7,Ineffective(Test Fails),"Single responsibility principle
Infinite recursion in helper methods
Duplication
missing null checks",,
openmrs-core,"Date addToDate(Date startDate, OrderFrequency frequency)", R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,1,12,,384,31,8,,6,24,8,,6,24,51.45%,Moderate,9,9,0,Moderate,"Eliminates repetitive if statements and reduces code duplication
map creation overhead on each method call ",,
openmrs-core,"Date addToDate(Date startDate, OrderFrequency frequency)", Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, NPathComplexity, ExcessiveLinesOfCode","NPathComplexity, ExcessiveLinesOfCode",CyclomaticComplexity,No,2,12,,384,31,10,,9,22,6.5,,5.5,14,47.79%,Low,9,9,0,Low,"Switch statement usage
Single responsibility principle",,
openmrs-core,"Date addToDate(Date startDate, OrderFrequency frequency)", Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, NPathComplexity, ExcessiveLinesOfCode","NPathComplexity, ExcessiveLinesOfCode",CyclomaticComplexity,No,1,12,,384,31,12,,10,25,12,,10,25,38.92%,Low,9,9,0,Low,"Switch statement usage
",,
openmrs-core,void addObs(Obs observation), Llama 4 Maverick,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,4,10,20,,48,4,5,,16,3,2.75,,10,67.22%,Moderate,6,6,0,Moderate,"Single responsibility principle
Code refactoring extraction
",,
